"","valor_beta","valor_muB","valor_muE","valor_muI","valor_rho","maximo","tiempo_maximo","tiempo_mayor_infectados","parasitemia_en_valor_maximo"
"149",53.94,42.19,40.49,38.165,34.505,776328806.513184,0.004,0.003,100
"150",37.715,44.69,85.46,15.075,67.905,671440819.47435,0.005,0.004,100
"151",49.51,92.485,44.6,26.5,50.715,780985812.344438,0.004,0.003,100
"152",87.66,23.8,25.915,12.49,17.08,567303792.907655,0.021,0.017,100
"153",73.835,16.015,29.395,21.195,4.3,250419364.143137,0.047,0.039,100
"154",54.035,10.795,14.79,83.54,65.66,875265864.610811,0.001,0.001,100
"155",61.51,78.33,60.445,73.835,2.61,186398805.389103,0.025,0.022,100
"156",43.2,58.735,58.825,91.355,25.6,796570447.215754,0.002,0.002,100
"157",20.245,88.295,57.995,45.47,70.61,819596066.747435,0.002,0.002,100
"158",84.395,4.795,90.855,98.115,99.835,827113150.330852,0.001,0.001,100
"159",67.03,46.15,93.41,69.79,31.38,710834632.988822,0.003,0.002,100
"160",99.815,43.24,23.795,93.95,36.18,812038961.541794,0.002,0.002,100
"161",31.82,58.455,62.81,5.56,7.96,76239559.6243439,0.053,0.041,100
"162",91.265,95.295,48.155,74.655,52.925,802628919.762595,0.002,0.001,100
"163",68.375,5.36,86.345,29.61,22.145,556979893.478746,0.007,0.006,100
"164",91.79,21.12,46.065,16.435,84.9,791761688.717466,0.004,0.003,100
"165",24.185,52.265,60.385,88.455,50.27,781163795.465447,0.001,0.001,91.7103151471837
"166",35.515,91.705,34.935,68.875,39.6,828813005.285522,0.002,0.002,100
"167",90.815,72.4,1.125,29.54,19.695,834770866.461082,0.009,0.007,100
"168",47.83,6.755,74.495,53.38,52.745,796671294.30235,0.002,0.002,100
"169",51.78,24.325,80.805,8.795,97.205,660394723.051299,0.005,0.005,100
"170",71.165,30.28,32.91,4.6,59.715,605696905.006773,0.016,0.013,100
"171",63.255,62.01,6.81,51.575,68.22,858854144.012558,0.002,0.002,100
"172",85.495,75.25,84.32,91.795,35.76,NA,NA,0.002,NA
"173",26.035,46.555,15.81,60.22,77.325,886331570.068223,0.001,0.001,100
"174",0.035,23.085,54.29,14.875,36.45,634893793.501044,0.008,0.007,100
"175",63.74,95.545,65.385,76.96,18.48,688468685.265756,0.004,0.003,100
"176",72.185,68.76,15.16,96.645,52.4,875034921.850773,0.001,0.001,100
"177",95.845,33.9,34.075,40.29,22.435,750464147.336488,0.005,0.005,98.4460815128316
"178",17.365,54.795,98.38,80.59,57.93,828385212.931147,0.001,0.001,100
"179",50.17,89.6,41.895,26.72,89.605,843705951.588256,0.002,0.002,100
"180",90.2,47.45,57.315,43.82,35.08,773788618.17093,0.003,0.003,100
"181",56.545,92.875,18.11,99.665,11.585,720561130.105798,0.005,0.004,100
"182",12.105,83.605,67.83,92.58,73.405,840276662.695056,0.001,0.001,100
"183",90.49,11.275,55.095,17.315,34.215,640342961.294404,0.008,0.007,100
"184",59.225,34.315,4.135,72.8,70.23,887578466.623587,0.001,0.001,100
"185",63.505,2.31,60.645,74.12,21.44,750821161.446901,0.003,0.003,100
"186",21.845,69.765,39.205,88.685,3.43,390013826.645177,0.017,0.015,99.3596605041691
"187",63.915,48.81,34.41,77.995,47.145,812105316.999242,0.002,0.002,100
"188",20.975,22.715,87.205,72.835,16.85,652805545.840078,0.004,0.004,100
"189",4.78,12.035,91.995,54.41,70.915,788872013.165951,0.002,0.001,100
"190",10.11,69.39,27,34.655,98.52,855808097.240104,0.002,0.002,100
"191",98.4,12.895,19.175,37.555,40.08,817856276.857443,0.004,0.003,100
"192",39.945,40.28,33.005,69.855,26.18,793217475.562098,0.003,0.003,99.9999999999999
"193",51.065,38.335,84.535,67.325,62.02,783938054.045284,0.002,0.001,100
"194",9.775,22.2,97.04,84.27,3.73,243572780.94295,0.014,0.012,100
"195",28.95,1.335,10.07,52.89,15.15,807064612.785871,0.006,0.005,100
"196",82.955,61.94,0.84,89.75,75.595,871637445.699628,0.001,0.001,100
"197",8.55,77,77.59,96.155,89.905,NA,NA,0.001,NA
"198",27.55,65.24,31.15,19.95,48.775,791204037.611451,0.005,0.004,100
"199",71.585,9.86,1.455,36.57,55.57,867407622.491327,0.003,0.002,100
"200",87.115,35.055,13.495,57.59,40.525,867752358.02793,0.002,0.002,100
"201",26.45,80.25,51.53,33.57,84.39,832221581.93725,0.002,0.002,100
"202",60.725,95.835,70.775,47.935,43.81,758764483.359438,0.003,0.002,100
"203",5.77,27.235,62.23,52.44,9.26,502327591.171278,0.01,0.008,100
"204",26.895,40.6,48.34,86.715,57.56,857470816.789327,0.001,0.001,100
"205",84.415,31.42,74.805,97.685,13.78,654227678.501665,0.004,0.003,100
"206",31.755,17.385,35.67,22.375,9.585,466099051.14816,0.02,0.017,98.5828628411858
"207",50.92,82.795,17.555,53.725,23.4,814396959.50263,0.004,0.004,100
"208",80.715,13.8,84.735,41.91,65.985,792984458.805378,0.002,0.002,100
"209",84.16,18.4,88.14,79.515,39.79,768804155.570734,0.002,0.002,100
"210",10.295,66.49,17.65,37.91,72.195,865980344.166173,0.002,0.002,100
"211",15.795,85.035,70.255,68.735,31.145,738588132.920988,0.003,0.002,100
"212",3.825,3.235,91.25,52.75,15.58,565861803.801154,0.006,0.005,100
"213",34.455,12.245,63.31,80.095,15.285,693622180.068776,0.004,0.004,100
"214",87.55,29.12,85.825,41.185,73.3,796041839.627523,0.002,0.002,100
"215",21.58,38.75,35.99,97.32,5.53,536704090.345478,0.01,0.008,100
"216",27.08,31.245,5.665,27.44,64.545,875580604.087205,0.003,0.003,100
"217",4.11,93.2,36.82,2.97,16.71,165614755.306857,0.061,0.049,100
"218",14.67,93.8,37.555,13.745,60.445,759357672.322717,0.006,0.005,100
"219",48.225,83.105,66.525,90.595,83.835,840537375.919832,0.001,0.001,100
