"","valor_alfa","valor_beta","valor_omega","valor_gamma","valor_rho","valor_mu","valor_psi","maximo","tiempo_maximo","tiempo_mayor_infectados"
"63",11.138671496883,72.2914198646322,29.0473297936842,51.648905989714,99.8849784955382,12.8663370152935,11.4255983382463,0.0556736829776354,0.01,0.01
"64",16.6678858688101,23.1926352484152,58.5391092114151,5.2241341676563,22.3143792478368,1.44988130778074,92.0936788199469,53.6485844418097,0.01,0.02
"65",97.1679386217147,8.40114413294941,19.7605984518304,42.1869715675712,79.6275116736069,27.0959792193025,36.6293597267941,0.0140714122437219,0.01,0.01
"66",72.3382476717234,34.7428951179609,15.1938364375383,75.3511368529871,92.6317111589015,71.0256062448025,6.60540636163205,1.28057722937218,0.01,0.01
"67",97.2928976174444,82.9441287787631,73.0652016587555,76.4764140360057,65.452151093632,4.47606183588505,90.2217187220231,0.0127964225344425,0.01,0.01
"68",37.7632683608681,3.14690216910094,84.7787240985781,91.524021117948,32.499303878285,68.3228070382029,77.8015135787427,0.0356965726810448,0.01,0.01
"69",25.8593648672104,87.5210396014154,43.7841257313266,63.5624687420204,40.3319517383352,45.2694039791822,56.0770382173359,0.027611259061172,0.01,0.01
"70",28.1578346388415,35.9353003790602,53.1641701469198,6.02549680043012,86.1929656472057,66.47084930446,10.943448334001,0.0564958503375598,0.01,0.01
"71",55.3685521939769,67.3706193687394,72.6483684964478,31.7319485824555,70.3050156356767,41.9757172930986,90.5686980113387,0.00492853880958554,0.01,0.01
"72",81.6720910137519,66.8812646064907,40.5096255941316,92.9351941216737,22.2456147428602,93.8871951540932,64.5199306774884,0.064393997442406,0.01,0.01
"73",1.77452804055065,27.4945283774287,12.3694602865726,70.9482298931107,20.3229621751234,77.1918731508777,35.6255473103374,1.00963210023452,0.01,0.01
"74",44.1583519568667,25.0504985451698,17.5817708019167,15.2365813497454,1.95640115998685,32.9447234747931,41.7479455703869,611.803575176167,0.01,0.01
"75",48.7317829858512,71.4582204353064,57.8950849128887,4.01080877054483,66.1366989836097,70.681672822684,53.0763723654673,0.00112139468418505,0.01,0.01
"76",15.1555176125839,85.3557344293222,34.6595894312486,3.31739275716245,53.0747826909646,1.68248943518847,57.3538294294849,0.00133324978984877,0.01,0.01
"77",11.2405367195606,5.86929658893496,77.6723477058113,9.49582690373063,29.8733092378825,87.8847110783681,79.0206960402429,0.00397063823125083,0.01,0.01
"78",10.8879789477214,89.8630850948393,31.6321338294074,33.8002739008516,61.8493794230744,46.8798256479204,9.5043312991038,2.2091931803023,0.01,0.01
"79",21.4776071952656,36.6432659095153,19.1389852436259,39.2049265559763,91.4399367989972,11.6789270425215,3.06879112031311,58.681688952849,0.01,0.01
"80",60.0238408427685,77.6076786918566,17.3259006114677,2.06339557189494,47.0127685926855,90.1609010528773,43.2620900683105,0.000993001589628297,0.01,0.01
"81",25.5591957829893,13.9440013561398,73.7728192005306,99.4699469069019,59.765820694156,37.4728710623458,95.4705494223163,0.0172430335491731,0.01,0.01
