"","V1","V2","V3","V4","V5","V6"
"140","beta",13.9,851941980.945138,0.073,0.062,-910085280441604992
"141","beta",14,851941981.2484,0.073,0.062,78438416786449874944
"142","beta",14.1,851941979.987444,0.073,0.062,2086317496254180352
"143","beta",14.2,851941979.720025,0.073,0.062,-110360695997978032
"144","beta",14.3,851941980.000485,0.073,0.062,3871480930388674560
"145","beta",14.4,851941979.990352,0.073,0.062,-112691956304213968
"146","beta",14.5,851941981.282328,0.073,0.062,-101632178285920624
"147","beta",14.6,851941980.025674,0.073,0.062,4.88124199854121e+20
"148","beta",14.7,851941980.044112,0.073,0.062,-99346743458295056
"149","beta",14.8,851941980.067651,0.073,0.062,-108972083820023056
"150","beta",14.9,851941980.077762,0.073,0.062,6347617692515315712
"151","beta",15,851941981.197808,0.073,0.062,6430696461280082944
"152","beta",15.1,851941980.080689,0.073,0.062,-111087002274458496
"153","beta",15.2,851941961.697255,0.073,0.062,14568744529312237568
"154","beta",15.3,851941961.89135,0.073,0.062,-34642999608646483968
"155","beta",15.4,851941961.569778,0.073,0.062,5.21160882703162e+20
"156","beta",15.5,851941961.530774,0.073,0.062,-1.12081006263241e+21
"157","beta",15.6,851941961.676437,0.073,0.062,35660727460057841664
"158","beta",15.7,851941981.658098,0.073,0.062,5.20234543820234e+20
"159","beta",15.8,851941981.122258,0.073,0.062,-857053596104073984
"160","beta",15.9,851941980.951973,0.073,0.062,-114143427189707680
"161","beta",16,851941981.947588,0.073,0.062,2489705192412837888
"162","beta",16.1,851941981.664162,0.073,0.062,9722811542358894592
"163","beta",16.2,851941980.691505,0.073,0.062,5.1403364851685e+20
"164","beta",16.3,851941981.786454,0.073,0.062,-108748657819404272
"165","beta",16.4,851941981.345265,0.073,0.062,6100114855357574144
"166","beta",16.5,851941981.284174,0.073,0.062,8431602309302866944
"167","beta",16.6,851941981.245125,0.073,0.062,2409166702340434432
"168","beta",16.7,851941981.274651,0.073,0.062,7884053328531456000
"169","beta",16.8,851941976.964927,0.073,0.062,-19283266193409163264
"170","beta",16.9,851941979.783747,0.073,0.062,5888828980550979584
"171","beta",17,851941976.784603,0.073,0.062,17651577416250726400
"172","beta",17.1,851941980.209082,0.073,0.062,7826580311822284800
"173","beta",17.2,851941981.778575,0.073,0.062,4.97284660079199e+20
"174","beta",17.3,851941979.822756,0.073,0.062,9.91238975901004e+20
"175","beta",17.4,851941980.59815,0.073,0.062,-399801612862336576
"176","beta",17.5,851941981.846365,0.073,0.062,-167666067531855200
"177","beta",17.6,851941983.048949,0.073,0.062,1067764477686078976
"178","beta",17.7,851941984.353729,0.073,0.062,-134505651125527472
"179","beta",17.8,851941985.446401,0.073,0.062,4650366249730864128
"180","beta",17.9,851941986.692778,0.073,0.062,-130127562082380480
"181","beta",18,851941987.683467,0.073,0.062,-2198326116953570304
"182","beta",18.1,851941988.756169,0.073,0.062,2.47126523255967e+21
"183","beta",18.2,851941991.816116,0.073,0.062,2.83386524518697e+21
"184","beta",18.3,851941990.568123,0.073,0.062,-137633144122458928
"185","beta",18.4,851941975.972627,0.073,0.062,-20417919931758600192
"186","beta",18.5,851941991.51837,0.073,0.062,-130408584059975520
"187","beta",18.6,851941993.255418,0.073,0.062,6.96055367731213e+21
"188","beta",18.7,851941993.836543,0.073,0.062,504896717275219904
"189","beta",18.8,851941980.667792,0.073,0.062,3.14944276523614e+21
"190","beta",18.9,851941996.274315,0.073,0.062,4359554123826805760
"191","beta",19,851941997.120382,0.073,0.062,2.89889445764084e+21
"192","beta",19.1,851941997.994814,0.073,0.062,-1260707917117930496
"193","beta",19.2,851942000.663216,0.073,0.062,6.04374336647084e+23
"194","beta",19.3,851942001.905002,0.073,0.062,3969264347772221440
